tth,counts
21.63606815,487
21.66232872,516
21.68858928,538
21.71484985,505
21.74111041,505
21.76737098,535
21.79363154,514
21.81989211,457
21.84615267,443
21.87241324,455
21.8986738,438
21.92493437,430
21.95119493,386
21.9774555,443
22.00371607,481
22.02997663,509
22.0562372,521
22.08249776,543
22.10875833,513
22.13501889,588
22.16127946,537
22.18754002,488
22.21380059,408
22.24006115,375
22.26632172,343
22.29258228,328
22.31884285,269
22.34510342,270
22.37136398,259
22.39762455,222
22.42388511,242
22.45014568,217
22.47640624,234
22.50266681,255
22.52892737,210
22.55518794,215
22.5814485,233
22.60770907,232
22.63396963,242
22.6602302,209
22.68649076,217
22.71275133,212
22.7390119,220
22.76527246,226
22.79153303,253
22.81779359,220
22.84405416,235
22.87031472,209
22.89657529,258
22.92283585,255
22.94909642,233
22.97535698,284
23.00161755,242
23.02787811,260
23.05413868,260
23.08039925,288
23.10665981,313
23.13292038,334
23.15918094,371
23.18544151,412
23.21170207,491
23.23796264,579
23.2642232,602
23.29048377,610
23.31674433,628
23.3430049,636
23.36926546,664
23.39552603,649
23.42178659,555
23.44804716,493
23.47430773,418
23.50056829,343
23.52682886,358
23.55308942,291
23.57934999,267
23.60561055,261
23.63187112,246
23.65813168,251
23.68439225,223
23.71065281,248
23.73691338,264
23.76317394,208
23.78943451,211
23.81569508,221
23.84195564,195
23.86821621,218
23.89447677,223
23.92073734,196
23.9469979,212
23.97325847,220
23.99951903,214
24.0257796,212
24.05204016,200
24.07830073,175
24.10456129,202
24.13082186,193
24.15708242,207
24.18334299,216
24.20960356,219
24.23586412,187
24.26212469,187
24.28838525,202
24.31464582,219
24.34090638,199
24.36716695,193
24.39342751,195
24.41968808,206
24.44594864,222
24.47220921,190
24.49846977,242
24.52473034,208
24.55099091,217
24.57725147,203
24.60351204,211
24.6297726,192
24.65603317,211
24.68229373,195
24.7085543,202
24.73481486,200
24.76107543,232
24.78733599,227
24.81359656,201
24.83985712,218
24.86611769,207
24.89237825,193
24.91863882,198
24.94489939,214
24.97115995,237
24.99742052,226
25.02368108,221
25.04994165,245
25.07620221,222
25.10246278,247
25.12872334,276
25.15498391,283
25.18124447,279
25.20750504,362
25.2337656,354
25.26002617,401
25.28628674,484
25.3125473,600
25.33880787,663
25.36506843,715
25.391329,856
25.41758956,926
25.44385013,971
25.47011069,1102
25.49637126,1297
25.52263182,1648
25.54889239,2195
25.57515295,2722
25.60141352,2593
25.62767408,1826
25.65393465,1610
25.68019522,1029
25.70645578,602
25.73271635,394
25.75897691,331
25.78523748,307
25.81149804,288
25.83775861,266
25.86401917,253
25.89027974,230
25.9165403,232
25.94280087,237
25.96906143,224
25.995322,212
26.02158257,228
26.04784313,262
26.0741037,237
26.10036426,224
26.12662483,228
26.15288539,208
26.17914596,203
26.20540652,232
