tth,counts
34.66130857,79
34.68756913,89
34.7138297,85
34.74009026,85
34.76635083,109
34.79261139,104
34.81887196,76
34.84513252,83
34.87139309,79
34.89765366,91
34.92391422,98
34.95017479,114
34.97643535,113
35.00269592,154
35.02895648,188
35.05521705,265
35.08147761,468
35.10773818,775
35.13399874,1261
35.16025931,1364
35.18651987,876
35.21278044,674
35.239041,797
35.26530157,612
35.29156214,274
35.3178227,185
35.34408327,128
35.37034383,108
35.3966044,126
35.42286496,119
35.44912553,107
35.47538609,95
35.50164666,94
35.52790722,110
35.55416779,104
35.58042835,106
35.60668892,100
35.63294949,116
35.65921005,105
35.68547062,160
35.71173118,143
35.73799175,170
35.76425231,178
35.79051288,222
35.81677344,229
35.84303401,276
35.86929457,377
35.89555514,484
35.9218157,727
35.94807627,1032
35.97433683,1240
36.0005974,1248
36.02685797,1010
36.05311853,945
36.0793791,811
36.10563966,600
36.13190023,414
36.15816079,307
36.18442136,253
36.21068192,217
36.23694249,181
36.26320305,164
36.28946362,142
36.31572418,121
36.34198475,122
36.36824532,109
36.39450588,95
36.42076645,113
36.44702701,103
36.47328758,75
36.49954814,88
36.52580871,100
36.55206927,100
36.57832984,82
36.6045904,105
36.63085097,111
36.65711153,82
36.6833721,80
36.70963266,87
36.73589323,87
36.7621538,77
36.78841436,82
36.81467493,83
36.84093549,82
36.86719606,88
36.89345662,84
36.91971719,84
36.94597775,79
36.97223832,73
36.99849888,72
37.02475945,86
37.05102001,73
37.07728058,88
37.10354115,65
37.12980171,85
37.15606228,68
37.18232284,77
37.20858341,71
37.23484397,66
37.26110454,73
37.2873651,56
37.31362567,69
37.33988623,74
37.3661468,62
37.39240736,74
37.41866793,85
37.44492849,81
37.47118906,70
37.49744963,74
37.52371019,85
37.54997076,81
37.57623132,83
37.60249189,90
37.62875245,120
37.65501302,103
37.68127358,171
37.70753415,238
37.73379471,354
37.76005528,577
37.78631584,605
37.81257641,366
37.83883698,324
37.86509754,361
37.89135811,290
37.91761867,153
37.94387924,96
37.9701398,106
37.99640037,74
38.02266093,77
38.0489215,83
38.07518206,86
38.10144263,87
38.12770319,83
38.15396376,92
38.18022432,62
38.20648489,83
38.23274546,92
38.25900602,73
38.28526659,69
38.31152715,78
38.33778772,71
38.36404828,77
38.39030885,73
38.41656941,80
38.44282998,76
38.46909054,75
38.49535111,67
38.52161167,65
38.54787224,82
38.57413281,82
38.60039337,79
38.62665394,71
38.6529145,68
38.67917507,74
38.70543563,70
38.7316962,97
38.75795676,81
38.78421733,83
38.81047789,102
38.83673846,85
38.86299902,96
38.88925959,96
38.91552015,89
38.94178072,119
38.96804129,110
38.99430185,106
39.02056242,124
39.04682298,130
39.07308355,110
